"id","name","code","user_type_id/id","group_id/id","chart_template_id/id","tax_ids/id","reconcile","note"
"pcg_7911","pour risques et charges","7911","account.data_account_type_revenue","l10n_ohada.gc_791","l10n_ohada.ohada_chart_template",,,
"pcg_7913","des immobilisations incorporelles","7913","account.data_account_type_revenue","l10n_ohada.gc_791","l10n_ohada.ohada_chart_template",,,
"pcg_7914","des immobilisations corporelles","7914","account.data_account_type_revenue","l10n_ohada.gc_791","l10n_ohada.ohada_chart_template",,,
"pcg_7971","pour risques et charges","7971","account.data_account_type_revenue","l10n_ohada.gc_797","l10n_ohada.ohada_chart_template",,,
"pcg_7972","des immobilisations financières","7972","account.data_account_type_revenue","l10n_ohada.gc_797","l10n_ohada.ohada_chart_template",,,
"pcg_798","REPRISES D'AMORTISSEMENTS (*)","798","account.data_account_type_revenue","l10n_ohada.gc_79","l10n_ohada.ohada_chart_template",,,"(*) Cas de révision de plan d'amortissement"
"pcg_799","REPRISES DE SUBVENTION D'INVESTISSEMENT","799","account.data_account_type_revenue","l10n_ohada.gc_79","l10n_ohada.ohada_chart_template",,,
"pcg_811","IMMOBILISATIONS INCORPORELLES(*)","811","account.data_account_type_expenses","l10n_ohada.gc_81","l10n_ohada.ohada_chart_template",,,"(*) FACT - Note 3D: Ce compte n'est pas lu par les états financiers SYSCOHADA. Veuillez impérativement créer des sous-comptes en utilisant le 2ème et 3ème chiffre du compte d'immobilisation correspondant comme 4ème et 5ème chiffre du sous-compte créé (par ex. 821??)."
"pcg_812","IMMOBILISATIONS CORPORELLES(*)","812","account.data_account_type_expenses","l10n_ohada.gc_81","l10n_ohada.ohada_chart_template",,,"(*) FACT - Note 3D: Ce compte n'est pas lu par les états financiers SYSCOHADA. Veuillez impérativement créer des sous-comptes en utilisant le 2ème et 3ème chiffre du compte d'immobilisation correspondant comme 4ème et 5ème chiffre du sous-compte créé (par ex. 821??)."
"pcg_816","IMMOBILISATIONS FINANCIÈRES(*)","816","account.data_account_type_expenses","l10n_ohada.gc_81","l10n_ohada.ohada_chart_template",,,"(*) FACT - Note 3D: Ce compte n'est pas lu par les états financiers SYSCOHADA. Veuillez impérativement créer des sous-comptes en utilisant le 2ème et 3ème chiffre du compte d'immobilisation correspondant comme 4ème et 5ème chiffre du sous-compte créé (par ex. 821??)."
"pcg_821","IMMOBILISATIONS INCORPORELLES(*)","821","account.data_account_type_revenue","l10n_ohada.gc_82","l10n_ohada.ohada_chart_template",,,"(*) FACT - Note 3D: Ce compte n'est pas lu par les états financiers SYSCOHADA. Veuillez impérativement créer des sous-comptes en utilisant le 2ème et 3ème chiffre du compte d'immobilisation correspondant comme 4ème et 5ème chiffre du sous-compte créé (par ex. 821??)."
"pcg_822","IMMOBILISATIONS CORPORELLES(*)","822","account.data_account_type_revenue","l10n_ohada.gc_82","l10n_ohada.ohada_chart_template",,,"(*) FACT - Note 3D: Ce compte n'est pas lu par les états financiers SYSCOHADA. Veuillez impérativement créer des sous-comptes en utilisant le 2ème et 3ème chiffre du compte d'immobilisation correspondant comme 4ème et 5ème chiffre du sous-compte créé (par ex. 821??)."
"pcg_826","IMMOBILISATIONS FINANCIÈRES(*)","826","account.data_account_type_revenue","l10n_ohada.gc_82","l10n_ohada.ohada_chart_template",,,"(*) FACT - Note 3D: Ce compte n'est pas lu par les états financiers SYSCOHADA. Veuillez impérativement créer des sous-comptes en utilisant le 2ème et 3ème chiffre du compte d'immobilisation correspondant comme 4ème et 5ème chiffre du sous-compte créé (par ex. 821??)."
"pcg_831","CHARGES H.A.O. CONSTATÉES","831","account.data_account_type_expenses","l10n_ohada.gc_83","l10n_ohada.ohada_chart_template",,,
"pcg_833","CHARGES LIÉES AUX OPÉRATIONS DE RESTRUCTURATION","833","account.data_account_type_expenses","l10n_ohada.gc_83","l10n_ohada.ohada_chart_template",,,
"pcg_834","PERTES SUR CRÉANCES H.A.O.","834","account.data_account_type_expenses","l10n_ohada.gc_83","l10n_ohada.ohada_chart_template",,,
"pcg_835","DONS ET LIBÉRALITÉS ACCORDÉS","835","account.data_account_type_expenses","l10n_ohada.gc_83","l10n_ohada.ohada_chart_template",,,
"pcg_836","ABANDONS DE CRÉANCES CONSENTIS","836","account.data_account_type_expenses","l10n_ohada.gc_83","l10n_ohada.ohada_chart_template",,,
"pcg_837","CHARGES LIÉES AUX OPÉRATIONS DE LIQUIDATION","837","account.data_account_type_expenses","l10n_ohada.gc_83","l10n_ohada.ohada_chart_template",,,
"pcg_839","CHARGES POUR DÉPRÉCIATION ET PROVISIONS POUR RISQUES À COURT TERME H.A.O.","839","account.data_account_type_expenses","l10n_ohada.gc_83","l10n_ohada.ohada_chart_template",,,
"pcg_841","PRODUITS H.A.O CONSTATÉS","841","account.data_account_type_revenue","l10n_ohada.gc_84","l10n_ohada.ohada_chart_template",,,
"pcg_843","PRODUITS LIÉS AUX OPÉRATIONS DE RESTRUCTURATION","843","account.data_account_type_revenue","l10n_ohada.gc_84","l10n_ohada.ohada_chart_template",,,
"pcg_844","INDEMNITES ET SUBVENTIONS H.A.O (entité agricole)","844","account.data_account_type_revenue","l10n_ohada.gc_84","l10n_ohada.ohada_chart_template",,,
"pcg_845","DONS ET LIBÉRALITÉS OBTENUS","845","account.data_account_type_revenue","l10n_ohada.gc_84","l10n_ohada.ohada_chart_template",,,
"pcg_846","ABANDONS DE CRÉANCES OBTENUS","846","account.data_account_type_revenue","l10n_ohada.gc_84","l10n_ohada.ohada_chart_template",,,
"pcg_847","PRODUITS LIÉS AUX OPÉRATIONS DE LIQUIDATION","847","account.data_account_type_revenue","l10n_ohada.gc_84","l10n_ohada.ohada_chart_template",,,
"pcg_848","TRANSFERTS DE CHARGES H.A.O","848","account.data_account_type_revenue","l10n_ohada.gc_84","l10n_ohada.ohada_chart_template",,,
